Flight No.,Date,Time,Version Booster,Launch Site,Payload,Payload mass,Orbit,Customer,Launch outcome,Booster landing
"<td>14 August 2017,<br/>16:31
</td>",14 August 2017,16:31,F9 B4,KSC,SpaceX CRS-12,"3,310 kg",LEO,NASA,"Success
",Success
"<td>24 August 2017,<br/>18:51
</td>",24 August 2017,18:51,F9 FT,VAFB,Formosat-5,475 kg,SSO,NSPO,"Success
",Success
"<td>7 September 2017,<br/>14:00<sup class=""reference"" id=""cite_ref-223""><a href=""#cite_note-223"">[215]</a></sup>
</td>",7 September 2017,14:00,F9 B4,KSC,Boeing X-37B,"4,990 kg",LEO,USAF,"Success
",Success
"<td>9 October 2017,<br/>12:37
</td>",9 October 2017,12:37,F9 B4,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,"Success
",Success
"<td>11 October 2017,<br/>22:53:00
</td>",11 October 2017,22:53:00,F9 FTB1031.2,KSC,SES-11,"5,200 kg",GTO,SES S.A.,"Success
",Success
"<td>30 October 2017,<br/>19:34
</td>",30 October 2017,19:34,F9 B4,KSC,Koreasat 5A,"3,500 kg",GTO,KT Corporation,"Success
",Success
"<td>15 December 2017,<br/>15:36<sup class=""reference"" id=""cite_ref-234""><a href=""#cite_note-234"">[226]</a></sup>
</td>",15 December 2017,15:36,F9 FTB1035.2,Cape Canaveral,SpaceX CRS-13,"2,205 kg",LEO,NASA,"Success
",Success
"<td>23 December 2017,<br/>01:27<sup class=""reference"" id=""cite_ref-sfn_iridium4_237-0""><a href=""#cite_note-sfn_iridium4-237"">[229]</a></sup>
</td>",23 December 2017,01:27,F9 FTB1036.2,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,Controlled
"<td>8 January 2018,<br/>01:00<sup class=""reference"" id=""cite_ref-245""><a href=""#cite_note-245"">[237]</a></sup>
</td>",8 January 2018,01:00,F9 B4,CCAFS,Zuma,C,LEO,Northrop Grumman,Success,Success
"<td>31 January 2018,<br/>21:25<sup class=""reference"" id=""cite_ref-253""><a href=""#cite_note-253"">[244]</a></sup>
</td>",31 January 2018,21:25,F9 FTB1032.2,CCAFS,GovSat-1,"4,230 kg",GTO,SES,Success,Controlled
"<td>22 February 2018,<br/>14:17<sup class=""reference"" id=""cite_ref-276""><a href=""#cite_note-276"">[267]</a></sup>
</td>",22 February 2018,14:17,F9 FTB1038.2,VAFB,Paz,"2,150 kg",SSO,Hisdesat,Success,No attempt
"<td>6 March 2018,<br/>05:33<sup class=""reference"" id=""cite_ref-:1_285-0""><a href=""#cite_note-:1-285"">[276]</a></sup>
</td>",6 March 2018,05:33,F9 B4,CCAFS,Hispasat 30W-6,"6,092 kg",GTO,Hispasat,Success,No attempt
"<td>30 March 2018,<br/>14:14<sup class=""reference"" id=""cite_ref-294""><a href=""#cite_note-294"">[285]</a></sup>
</td>",30 March 2018,14:14,F9 B4B1041.2,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,No attempt
"<td>2 April 2018,<br/>20:30<sup class=""reference"" id=""cite_ref-300""><a href=""#cite_note-300"">[291]</a></sup>
</td>",2 April 2018,20:30,F9 B4B1039.2,CCAFS,SpaceX CRS-14,"2,647 kg",LEO,NASA,Success,No attempt
"<td>18 April 2018,<br/>22:51<sup class=""reference"" id=""cite_ref-nsf20180418_312-0""><a href=""#cite_note-nsf20180418-312"">[303]</a></sup>
</td>",18 April 2018,22:51,F9 B4,CCAFS,Transiting Exoplanet Survey Satellite,362 kg,HEO,NASA,Success,Success
"<td>11 May 2018,<br/>20:14<sup class=""reference"" id=""cite_ref-319""><a href=""#cite_note-319"">[310]</a></sup>
</td>",11 May 2018,20:14,F9 B5B1046.1,KSC,Bangabandhu-1,"3,600 kg",GTO,Thales-Alenia,Success,Success
"<td>22 May 2018,<br/>19:47<sup class=""reference"" id=""cite_ref-330""><a href=""#cite_note-330"">[321]</a></sup>
</td>",22 May 2018,19:47,F9 B4B1043.2,VAFB,Iridium NEXT,"6,460 kg",Polar,Iridium Communications,Success,No attempt
